name,age,height,weight,country,sport
Alice,25,170,65,USA,Tennis
Bob,30,180,75,Canada,Basketball
Carol,28,165,60,UK,Swimming
David,35,175,80,Australia,Running
Eva,22,160,55,Germany,Gymnastics
Frank,27,185,90,France,Rugby
Grace,29,168,62,Italy,Volleyball
Henry,31,178,78,Spain,Football
Iris,24,172,66,Netherlands,Cycling
Jack,33,183,85,Brazil,Weightlifting
Kate,26,167,63,Sweden,Skiing
Leo,32,181,82,Norway,Rowing
Maya,23,164,58,Japan,Martial Arts
Nick,28,176,77,South Korea,Badminton
Olivia,30,169,64,China,Table Tennis
Paul,34,179,81,India,Cricket
Quinn,25,171,67,Mexico,Boxing
Rosa,27,166,61,Argentina,Dance
Sam,29,174,73,Chile,Surfing
Tina,26,163,59,Colombia,Yoga
